id,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
4023, A7,2019,Automatic,10,Diesel,145,52.3,3.0
4024, Q3,2015,Semi-Auto,33459,Petrol,325,32.8,2.5
4025, A6,2016,Semi-Auto,43099,Diesel,145,56.5,2.0
4026, A6,2016,Manual,25718,Diesel,125,58.9,2.0
4027, A6,2019,Semi-Auto,12398,Diesel,150,47.9,2.0
4028, A8,2018,Semi-Auto,22688,Diesel,145,50.4,3.0
4029, A3,2018,Semi-Auto,18207,Petrol,150,43.5,2.0
4030, Q7,2019,Semi-Auto,28,Diesel,145,33.2,3.0
4031, A3,2019,Automatic,1235,Diesel,145,52.3,1.6
4032, Q8,2019,Automatic,6000,Diesel,145,32.8,3.0
4033, Q2,2019,Manual,16047,Petrol,145,47.1,1.0
4034, RS4,2019,Automatic,4100,Petrol,145,29.1,2.9
4035, A6,2019,Semi-Auto,8598,Diesel,145,47.9,2.0
4036, A5,2017,Semi-Auto,7696,Diesel,30,67.3,2.0
4037, Q2,2019,Manual,4563,Diesel,145,49.6,1.6
4038, A4,2018,Semi-Auto,8874,Petrol,150,36.7,3.0
4039, A4,2019,Automatic,8450,Diesel,145,44.8,2.0
4040, A4,2019,Semi-Auto,7750,Petrol,145,38.7,2.0
4041, A4,2019,Automatic,6464,Diesel,145,48.7,2.0
4042, A6,2017,Automatic,46520,Diesel,145,64.2,2.0
4043, Q2,2019,Manual,12140,Diesel,145,47.9,1.6
4044, A3,2019,Semi-Auto,6806,Petrol,145,34.9,2.0
4045, Q3,2019,Automatic,3662,Petrol,145,37.2,1.5
4046, A1,2016,Manual,20645,Petrol,30,56.5,1.4
4047, A1,2016,Semi-Auto,11349,Petrol,30,57.6,1.4
4048, Q5,2019,Automatic,1000,Diesel,145,38.2,2.0
4049, A3,2014,Manual,35093,Petrol,30,54.3,1.4
4050, A6,2016,Automatic,65766,Diesel,30,61.4,2.0
4051, A6,2016,Automatic,53531,Diesel,30,61.4,2.0
4052, Q7,2019,Automatic,14573,Diesel,145,32.8,3.0
4053, A4,2014,Semi-Auto,49688,Petrol,300,33.6,3.0
4054, A3,2018,Manual,14500,Petrol,145,46.3,1.0
4055, Q3,2017,Manual,29854,Diesel,145,50.4,2.0
4056, A5,2020,Semi-Auto,5432,Diesel,145,51.4,2.0
4057, A3,2019,Semi-Auto,4900,Petrol,145,43.5,1.5
4058, Q5,2018,Semi-Auto,5092,Petrol,145,40.4,2.0
4059, Q5,2019,Semi-Auto,1154,Diesel,145,38.2,2.0
4060, A5,2017,Manual,40677,Diesel,20,67.3,2.0
4061, A5,2017,Semi-Auto,51243,Diesel,30,62.8,2.0
4062, A4,2020,Semi-Auto,6400,Diesel,145,39.2,3.0
4063, A5,2018,Semi-Auto,14000,Diesel,150,67.3,2.0
4064, A3,2016,Semi-Auto,23194,Petrol,30,54.3,1.4
4065, A3,2016,Semi-Auto,42203,Petrol,20,60.1,1.4
4066, A1,2016,Semi-Auto,12445,Petrol,20,64.2,1.0
4067, A5,2017,Semi-Auto,31747,Petrol,150,45.6,2.0
4068, A5,2020,Semi-Auto,7532,Petrol,145,39.2,2.0
4069, A6,2012,Manual,81088,Diesel,145,56.5,2.0
4070, Q7,2019,Automatic,2086,Diesel,145,33.2,3.0
4071, A3,2019,Manual,2455,Diesel,150,52.3,1.6
4072, A4,2019,Automatic,3382,Petrol,145,38.7,2.0
4073, A6,2017,Semi-Auto,19731,Diesel,145,56.5,2.0
4074, A4,2016,Semi-Auto,30374,Diesel,145,56.5,2.0
4075, Q5,2016,Semi-Auto,40905,Diesel,205,47.1,2.0
4076, A5,2019,Semi-Auto,50,Petrol,145,39.8,2.0
4077, A3,2014,Manual,84878,Diesel,20,67.3,2.0
4078, Q5,2016,Manual,23314,Petrol,240,37.2,2.0
4079, A6,2018,Semi-Auto,28850,Diesel,145,64.2,2.0
4080, Q3,2019,Semi-Auto,13500,Diesel,150,45.6,2.0
4081, A3,2017,Manual,13466,Petrol,20,62.8,1.0
4082, A6,2017,Manual,20696,Diesel,150,65.7,2.0
4083, Q3,2019,Manual,1600,Diesel,145,40.9,2.0
4084, A7,2015,Semi-Auto,21100,Petrol,325,29.7,4.0
4085, A6,2015,Automatic,55246,Diesel,30,64.2,2.0
4086, Q3,2016,Manual,14419,Diesel,145,52.3,2.0
4087, TT,2019,Semi-Auto,4389,Petrol,145,38.7,2.0
4088, A1,2017,Manual,12200,Petrol,150,55.4,1.4
4089, Q5,2019,Automatic,13683,Diesel,145,38.2,2.0
4090, Q3,2016,Manual,26474,Diesel,145,52.3,2.0
4091, TT,2019,Manual,3890,Petrol,145,39.8,2.0
4092, Q3,2015,Semi-Auto,25493,Diesel,160,50.4,2.0
4093, A5,2015,Automatic,50000,Diesel,145,54.3,2.0
4094, TT,2016,Manual,21705,Petrol,165,45.6,2.0
4095, A6,2013,Manual,64000,Diesel,145,56.5,2.0
4096, A6,2019,Automatic,1881,Diesel,145,47.9,2.0
4097, Q5,2016,Semi-Auto,37500,Diesel,240,42.8,3.0
4098, A1,2015,Manual,20048,Petrol,0,67.3,1.0
4099, Q3,2015,Semi-Auto,45521,Diesel,160,51.4,2.0
4100, A4,2019,Semi-Auto,18668,Petrol,150,40.9,2.0
4101, Q5,2019,Semi-Auto,8566,Diesel,145,38.2,2.0
4102, A4,2019,Automatic,2500,Diesel,145,45.6,2.0
4103, Q5,2019,Semi-Auto,6836,Diesel,145,38.2,2.0
4104, A4,2019,Automatic,1000,Petrol,145,38.2,2.0
4105, A4,2015,Manual,20995,Diesel,30,64.2,2.0
4106, Q5,2020,Automatic,12,Diesel,150,34.5,3.0
4107, Q5,2016,Automatic,19000,Petrol,235,37.7,2.0
4108, A7,2019,Automatic,13450,Diesel,140,52.3,3.0
4109, A3,2017,Manual,63829,Diesel,150,68.9,1.6
4110, TT,2016,Manual,40601,Diesel,30,61.4,2.0
4111, Q3,2019,Automatic,8849,Diesel,145,47.1,2.0
4112, Q5,2017,Automatic,17039,Diesel,145,55.4,2.0
4113, A6,2018,Semi-Auto,20136,Diesel,150,64.2,2.0
4114, A1,2017,Manual,37746,Petrol,30,55.4,1.4
4115, A3,2017,Manual,11836,Petrol,20,60.1,1.0
4116, A3,2015,Manual,32842,Diesel,30,67.3,1.6
4117, Q2,2019,Manual,4200,Petrol,145,47.1,1.0
4118, Q5,2017,Semi-Auto,34000,Diesel,145,56.5,2.0
4119, A5,2019,Automatic,3798,Petrol,145,37.2,2.0
4120, A7,2019,Automatic,7656,Diesel,145,38.7,3.0
4121, A4,2019,Semi-Auto,15511,Petrol,145,38.2,2.0
4122, A1,2016,Manual,15352,Diesel,0,76.3,1.6
4123, A4,2016,Semi-Auto,55827,Diesel,30,67.3,2.0
4124, A5,2016,Manual,46107,Petrol,200,40.9,2.0
4125, A1,2016,Manual,24952,Petrol,30,55.4,1.4
4126, A4,2019,Automatic,1596,Petrol,145,38.7,2.0
4127, A3,2014,Automatic,60770,Diesel,30,64.2,2.0
4128, A3,2016,Automatic,48097,Petrol,30,58.9,1.4
4129, R8,2019,Automatic,11936,Petrol,145,21.4,5.2
4130, Q7,2019,Automatic,9159,Diesel,145,33.2,3.0
4131, Q3,2015,Manual,36285,Petrol,145,49.6,1.4
4132, A1,2020,Semi-Auto,1500,Petrol,145,44.8,1.0
4133, Q2,2017,Semi-Auto,22000,Diesel,145,57.7,2.0
4134, A6,2018,Semi-Auto,5894,Diesel,145,56.5,2.0
4135, Q5,2019,Semi-Auto,10,Petrol,145,33.2,2.0
4136, A3,2015,Manual,71335,Diesel,0,74.3,1.6
4137, Q5,2019,Semi-Auto,4000,Diesel,145,32.5,3.0
4138, RS4,2020,Semi-Auto,2000,Petrol,145,29.1,2.9
4139, A3,2017,Manual,56244,Petrol,20,61.4,1.4
4140, A1,2015,Manual,30042,Diesel,0,80.7,1.6
4141, A6,2017,Automatic,44250,Diesel,145,67.3,2.0
4142, A4,2016,Manual,68248,Diesel,20,72.4,2.0
4143, Q7,2016,Semi-Auto,47538,Diesel,200,47.9,3.0
4144, Q3,2015,Semi-Auto,57204,Petrol,200,42.2,2.0
4145, A4,2019,Manual,5654,Petrol,145,39.2,2.0
4146, Q5,2014,Manual,41034,Diesel,200,47.9,2.0
4147, Q2,2017,Manual,9865,Petrol,145,52.3,1.4
4148, A6,2017,Automatic,29332,Diesel,165,50.4,3.0
4149, A3,2010,Manual,46000,Diesel,135,55.4,2.0
4150, Q3,2019,Manual,4000,Petrol,145,39.8,1.5
4151, A6,2016,Semi-Auto,30450,Diesel,30,61.4,3.0
4152, Q5,2011,Manual,66229,Diesel,200,42.1,2.0
4153, A5,2014,Semi-Auto,75159,Petrol,260,34.9,3.0
4154, A3,2016,Manual,21540,Petrol,30,57.6,1.4
4155, A3,2016,Manual,41014,Petrol,125,53.3,1.4
4156, A8,2015,Automatic,34899,Diesel,200,47.9,3.0
4157, A4,2016,Manual,92064,Diesel,20,70.6,2.0
4158, SQ5,2017,Automatic,27000,Petrol,150,34.0,3.0
4159, Q3,2015,Semi-Auto,69150,Petrol,205,40.4,2.0
4160, Q3,2015,Manual,42971,Diesel,160,49.6,2.0
4161, Q5,2015,Automatic,53990,Diesel,200,47.9,2.0
4162, A1,2017,Manual,34003,Petrol,0,67.3,1.0
4163, Q5,2015,Semi-Auto,45600,Diesel,200,47.1,2.0
4164, A5,2019,Automatic,6000,Petrol,145,39.2,2.0
4165, Q3,2019,Manual,1793,Diesel,145,40.9,2.0
4166, Q3,2019,Semi-Auto,1869,Petrol,150,38.2,1.5
4167, A1,2012,Manual,76975,Diesel,20,68.9,2.0
4168, A6,2017,Semi-Auto,34029,Diesel,30,61.4,2.0
4169, Q3,2018,Semi-Auto,9558,Petrol,145,45.6,1.4
4170, Q3,2018,Semi-Auto,25966,Petrol,145,40.4,2.0
4171, A4,2019,Semi-Auto,9662,Diesel,145,45.6,2.0
4172, A4,2019,Semi-Auto,4708,Diesel,145,49.6,2.0
4173, TT,2016,Manual,45622,Petrol,150,47.1,1.8
4174, A1,2017,Manual,54837,Petrol,0,67.3,1.0
4175, Q5,2014,Automatic,37113,Diesel,200,47.1,2.0
4176, A3,2019,Automatic,8176,Diesel,145,52.3,1.6
4177, Q5,2019,Automatic,1000,Diesel,145,39.2,2.0
4178, A5,2019,Semi-Auto,4750,Diesel,145,51.4,2.0
4179, Q2,2018,Manual,31433,Diesel,145,64.2,1.6
4180, A5,2017,Semi-Auto,26939,Diesel,145,62.8,2.0
4181, A3,2016,Manual,33000,Diesel,20,70.6,1.6
4182, Q7,2018,Semi-Auto,31362,Diesel,145,37.2,4.0
4183, Q7,2012,Automatic,87000,Diesel,300,38.2,3.0
4184, Q3,2015,Manual,32914,Diesel,145,52.3,2.0
4185, A7,2018,Automatic,17087,Diesel,150,38.2,3.0
4186, Q7,2019,Automatic,10000,Diesel,145,33.2,3.0
4187, A3,2016,Automatic,24672,Diesel,30,64.2,2.0
4188, A1,2017,Manual,34000,Petrol,30,55.4,1.4
4189, A8,2019,Automatic,3000,Diesel,145,40.4,3.0
4190, Q3,2016,Manual,46553,Diesel,30,61.4,2.0
4191, A3,2018,Semi-Auto,9101,Petrol,145,44.1,2.0
4192, Q3,2020,Automatic,3854,Diesel,145,48.7,2.0
4193, Q2,2017,Automatic,33297,Diesel,145,58.9,2.0
4194, A3,2017,Manual,25728,Diesel,145,65.7,2.0
4195, TT,2019,Manual,7045,Petrol,150,34.9,2.0
4196, TT,2015,Manual,23886,Diesel,30,65.7,2.0
4197, A3,2017,Manual,19333,Petrol,20,60.1,1.4
4198, A7,2019,Semi-Auto,3130,Diesel,145,48.7,2.0
4199, A5,2009,Manual,108000,Petrol,160,42.8,2.0
4200, A1,2018,Manual,5000,Petrol,145,47.9,1.0
4201, Q5,2020,Automatic,2500,Petrol,145,32.1,2.0
4202, TT,2016,Manual,37352,Diesel,30,62.8,2.0
4203, RS6,2016,Semi-Auto,49050,Petrol,325,29.4,4.0
4204, A5,2019,Automatic,500,Diesel,145,50.4,2.0
4205, A1,2014,Manual,40000,Petrol,125,53.3,1.4
4206, Q3,2016,Manual,32011,Petrol,145,49.6,1.4
4207, Q3,2014,Automatic,29998,Diesel,200,47.9,2.0
4208, A6,2019,Semi-Auto,8060,Diesel,145,37.7,3.0
4209, Q5,2013,Manual,26996,Petrol,235,37.7,2.0
4210, A3,2016,Manual,29898,Petrol,20,60.1,1.4
4211, A3,2016,Manual,80000,Diesel,30,67.3,2.0
4212, Q3,2016,Manual,29000,Diesel,30,61.4,2.0
4213, A4,2019,Semi-Auto,2581,Petrol,145,39.2,2.0
4214, Q5,2019,Semi-Auto,10224,Diesel,145,38.2,2.0
4215, Q2,2020,Manual,5000,Petrol,145,43.5,1.5
4216, A5,2015,Semi-Auto,26143,Diesel,125,60.1,2.0
4217, A3,2018,Manual,18794,Diesel,145,67.3,2.0
4218, A3,2016,Manual,36151,Diesel,0,74.3,1.6
4219, A5,2016,Manual,17230,Diesel,145,54.3,2.0
4220, A1,2015,Semi-Auto,37231,Petrol,30,56.5,1.4
4221, Q5,2016,Semi-Auto,46816,Diesel,205,45.6,3.0
4222, A4,2019,Automatic,2208,Petrol,145,39.2,2.0
4223, A4,2016,Manual,54000,Diesel,0,74.3,2.0
4224, A1,2019,Semi-Auto,3774,Petrol,145,40.9,2.0
4225, A1,2019,Automatic,6327,Petrol,145,47.1,1.0
4226, Q3,2016,Semi-Auto,61260,Diesel,160,50.4,2.0
4227, A1,2012,Manual,80000,Diesel,0,74.3,1.6
4228, A3,2016,Semi-Auto,19856,Petrol,30,56.5,1.4
4229, A5,2017,Automatic,16000,Diesel,145,62.8,2.0
4230, Q2,2019,Manual,15,Petrol,145,40.9,1.5
4231, A1,2019,Automatic,11295,Petrol,150,47.1,1.0
4232, A3,2017,Manual,14930,Diesel,150,62.8,2.0
4233, Q5,2019,Automatic,6124,Diesel,145,38.2,2.0
4234, A4,2017,Manual,53000,Diesel,0,74.3,2.0
4235, A1,2017,Manual,25417,Diesel,0,76.3,1.6
4236, A3,2016,Automatic,36181,Diesel,20,70.6,1.6
4237, A5,2019,Automatic,8000,Petrol,145,37.7,2.0
4238, Q5,2017,Automatic,40860,Diesel,200,47.1,2.0
4239, A4,2016,Automatic,54000,Diesel,0,72.4,2.0
4240, A3,2019,Automatic,411,Petrol,150,34.9,2.0
4241, A4,2019,Semi-Auto,3500,Diesel,145,40.4,3.0
4242, Q3,2019,Automatic,7118,Diesel,145,38.7,2.0
4243, A6,2015,Automatic,64266,Diesel,200,47.9,3.0
4244, A1,2017,Manual,5697,Petrol,145,55.4,1.4
4245, Q5,2016,Automatic,60551,Diesel,200,47.1,2.0
4246, A4,2017,Automatic,36715,Diesel,145,70.6,2.0
4247, Q5,2019,Semi-Auto,6671,Diesel,145,38.2,2.0
4248, A5,2014,Manual,31650,Petrol,150,49.6,1.8
4249, R8,2019,Automatic,1000,Petrol,145,32.8,5.2
4250, A6,2016,Manual,97729,Diesel,30,61.4,2.0
4251, TT,2015,Manual,35000,Diesel,20,67.3,2.0
4252, A3,2017,Semi-Auto,31317,Diesel,125,57.6,2.0
4253, Q7,2020,Automatic,8500,Diesel,150,33.2,3.0
4254, A4,2017,Automatic,45225,Diesel,145,62.8,2.0
4255, A1,2015,Manual,26549,Petrol,0,67.3,1.0
4256, Q5,2019,Semi-Auto,5429,Diesel,145,38.2,2.0
4257, Q7,2019,Automatic,50,Diesel,145,33.6,3.0
4258, TT,2015,Manual,46940,Petrol,145,47.9,2.0
4259, Q5,2019,Automatic,5515,Diesel,145,38.2,2.0
4260, TT,2016,Manual,14782,Petrol,150,47.1,1.8
4261, A4,2016,Semi-Auto,73722,Diesel,0,72.4,2.0
4262, A3,2017,Automatic,8000,Petrol,20,60.1,1.0
4263, A1,2019,Semi-Auto,5304,Petrol,145,40.9,2.0
4264, A3,2019,Manual,5000,Petrol,145,46.3,1.0
4265, A1,2019,Semi-Auto,6501,Petrol,150,40.9,2.0
4266, A3,2019,Semi-Auto,14216,Petrol,145,42.2,1.5
4267, A4,2020,Manual,4000,Petrol,145,38.2,2.0
4268, A1,2017,Semi-Auto,10000,Petrol,20,64.2,1.0
4269, Q2,2017,Manual,87000,Diesel,30,64.2,1.6
4270, Q5,2018,Automatic,10000,Petrol,145,34.0,3.0
4271, A6,2019,Automatic,3545,Diesel,145,47.9,2.0
4272, A4,2016,Automatic,43309,Diesel,0,72.4,2.0
4273, Q7,2019,Automatic,5000,Diesel,145,33.2,3.0
4274, A1,2017,Manual,15322,Petrol,145,56.5,1.4
4275, Q2,2019,Semi-Auto,4781,Petrol,150,43.5,1.0
4276, A5,2017,Automatic,14250,Diesel,145,70.6,2.0
4277, A1,2019,Manual,7564,Petrol,145,51.4,1.0
4278, Q8,2020,Automatic,1500,Diesel,145,32.8,3.0
4279, A3,2016,Manual,51091,Diesel,20,65.7,2.0
4280, A4,2015,Manual,69000,Diesel,145,55.4,2.0
4281, Q5,2019,Semi-Auto,7601,Diesel,145,38.2,2.0
4282, A4,2019,Manual,1948,Petrol,145,40.4,2.0
4283, Q3,2016,Manual,64842,Diesel,160,49.6,2.0
4284, A4,2013,Manual,42185,Diesel,145,55.4,2.0
4285, A6,2016,Manual,121200,Diesel,30,61.4,2.0
4286, A4,2016,Automatic,44406,Diesel,20,67.3,2.0
4287, A6,2019,Semi-Auto,2200,Diesel,145,37.7,3.0
4288, Q3,2015,Manual,14146,Diesel,125,60.1,2.0
4289, A3,2016,Manual,88140,Diesel,20,67.3,2.0
4290, A3,2016,Manual,51000,Diesel,20,72.4,1.6
4291, A5,2019,Semi-Auto,7126,Diesel,150,50.4,2.0
4292, A3,2017,Manual,23698,Petrol,30,58.9,1.4
4293, A5,2019,Semi-Auto,1000,Diesel,145,48.7,2.0
4294, Q5,2020,Semi-Auto,5000,Diesel,145,32.5,3.0
4295, Q2,2017,Manual,31000,Petrol,150,55.4,1.0
4296, Q3,2015,Manual,47178,Diesel,165,49.6,2.0
4297, A1,2018,Manual,8413,Petrol,150,56.5,1.4
4298, Q2,2017,Manual,9249,Diesel,30,64.2,1.6
4299, Q2,2019,Manual,7052,Petrol,145,42.8,1.5
4300, A4,2018,Semi-Auto,31348,Petrol,150,51.4,1.4
4301, A4,2017,Semi-Auto,41000,Petrol,30,53.3,2.0
4302, A3,2017,Manual,7326,Petrol,20,60.1,1.4
4303, A3,2017,Automatic,27743,Diesel,145,70.6,1.6
4304, A7,2018,Automatic,4000,Diesel,145,38.2,3.0
4305, Q2,2018,Manual,9519,Petrol,145,50.4,1.4
4306, Q5,2018,Semi-Auto,38500,Diesel,145,55.4,2.0
4307, A3,2017,Manual,44180,Petrol,30,58.9,1.4
4308, A3,2016,Manual,22000,Diesel,20,70.6,2.0
4309, Q2,2019,Semi-Auto,7779,Diesel,150,47.9,1.6
4310, A1,2016,Manual,18181,Petrol,0,67.3,1.0
4311, A1,2016,Manual,13022,Petrol,30,55.4,1.4
4312, A4,2018,Semi-Auto,11040,Petrol,145,49.6,1.4
4313, A4,2016,Manual,24673,Diesel,20,72.4,2.0
4314, Q3,2019,Semi-Auto,5476,Petrol,145,31.0,2.0
4315, Q7,2019,Automatic,50,Diesel,145,33.6,3.0
4316, Q3,2017,Manual,41767,Petrol,145,51.4,1.4
4317, A4,2017,Manual,33187,Diesel,20,70.6,2.0
4318, Q8,2020,Automatic,10,Diesel,150,32.8,3.0
4319, A4,2019,Automatic,4650,Diesel,145,40.9,3.0
4320, A1,2020,Semi-Auto,5000,Petrol,150,44.8,1.0
4321, Q3,2013,Manual,70000,Diesel,145,54.3,2.0
4322, Q5,2019,Automatic,3283,Diesel,145,39.2,2.0
4323, Q3,2016,Semi-Auto,23500,Diesel,165,50.4,2.0
4324, A3,2019,Manual,1529,Diesel,150,52.3,1.6
4325, A3,2015,Manual,45427,Petrol,125,52.3,1.4
4326, A3,2016,Manual,11318,Petrol,30,55.4,1.4
4327, A4,2015,Automatic,74478,Diesel,200,47.1,2.0
4328, A1,2015,Manual,74901,Petrol,30,55.4,1.4
4329, A1,2019,Manual,291,Petrol,150,46.3,1.5
4330, A1,2017,Manual,15361,Petrol,30,55.4,1.4
4331, Q5,2016,Automatic,62926,Diesel,235,42.8,3.0
4332, A6,2018,Automatic,30986,Diesel,150,64.2,2.0
4333, Q3,2018,Semi-Auto,12115,Petrol,145,47.9,1.4
4334, A1,2019,Automatic,5756,Petrol,150,47.1,1.0
4335, A5,2017,Semi-Auto,24020,Diesel,145,70.6,2.0
4336, A5,2016,Manual,32219,Petrol,160,46.3,1.8
4337, A3,2019,Automatic,7141,Petrol,145,41.5,1.5
4338, A4,2019,Automatic,4500,Diesel,145,48.7,2.0
4339, A7,2017,Semi-Auto,21134,Diesel,145,52.3,3.0
4340, Q5,2016,Semi-Auto,15744,Diesel,200,47.1,2.0
4341, A1,2018,Semi-Auto,10247,Petrol,145,56.5,1.4
4342, A6,2019,Automatic,8012,Diesel,145,45.6,2.0
4343, A5,2016,Automatic,11998,Diesel,160,51.4,2.0
4344, A3,2019,Automatic,289,Petrol,150,34.9,2.0
4345, A1,2017,Manual,15187,Diesel,145,76.3,1.6
4346, A5,2016,Manual,51410,Diesel,125,57.6,2.0
4347, A6,2015,Automatic,57916,Diesel,30,61.4,2.0
4348, Q2,2019,Manual,1000,Diesel,145,49.6,1.6
4349, A4,2017,Semi-Auto,35712,Petrol,145,53.3,2.0
4350, A5,2019,Automatic,1500,Petrol,145,39.8,2.0
4351, A3,2019,Manual,4950,Diesel,150,49.6,1.6
4352, TT,2016,Manual,19542,Diesel,30,62.8,2.0
4353, Q2,2019,Manual,9525,Petrol,145,40.9,1.5
4354, A5,2019,Semi-Auto,14850,Petrol,145,39.8,2.0
4355, Q2,2019,Manual,6500,Petrol,145,39.2,1.5
4356, A3,2019,Semi-Auto,12863,Petrol,145,41.5,1.5
4357, A1,2017,Semi-Auto,23496,Diesel,150,70.6,1.6
4358, Q7,2019,Semi-Auto,5050,Diesel,145,44.1,3.0
4359, Q5,2017,Semi-Auto,24550,Petrol,145,34.0,3.0
4360, A4,2019,Manual,21275,Petrol,145,39.2,2.0
4361, Q3,2013,Semi-Auto,52134,Diesel,200,47.9,2.0
4362, A1,2019,Manual,8350,Petrol,145,46.3,1.5
4363, A4,2016,Automatic,53342,Diesel,30,65.7,2.0
4364, Q3,2016,Semi-Auto,31600,Diesel,160,50.4,2.0
4365, A1,2019,Semi-Auto,6000,Petrol,145,40.9,2.0
4366, Q7,2019,Automatic,7445,Diesel,145,32.8,3.0
4367, TT,2015,Manual,65799,Diesel,20,67.3,2.0
4368, A6,2016,Semi-Auto,43565,Diesel,125,58.9,2.0
4369, Q5,2019,Automatic,5135,Diesel,145,38.2,2.0
4370, A3,2015,Manual,86108,Diesel,20,68.9,2.0
4371, A4,2016,Manual,27450,Diesel,30,62.8,2.0
4372, Q5,2017,Semi-Auto,29330,Diesel,145,56.5,2.0
4373, A1,2016,Manual,45644,Diesel,0,80.7,1.6
4374, A3,2016,Semi-Auto,46324,Petrol,300,34.9,2.5
4375, A4,2005,Manual,87990,Diesel,325,36.7,3.0
4376, A1,2018,Manual,8000,Petrol,150,55.4,1.4
4377, Q3,2019,Automatic,2590,Petrol,145,31.4,2.0
4378, Q7,2017,Semi-Auto,51187,Diesel,300,39.2,4.0
4379, Q2,2019,Manual,3897,Petrol,145,39.2,1.5
4380, RS3,2019,Semi-Auto,10,Petrol,145,30.1,2.5
4381, Q3,2019,Manual,4000,Petrol,145,42.2,1.5
4382, Q2,2018,Automatic,33460,Diesel,145,58.9,2.0
4383, Q3,2017,Manual,13500,Diesel,145,56.5,2.0
4384, A3,2013,Automatic,31244,Diesel,30,64.2,2.0
4385, A3,2017,Manual,27875,Petrol,145,60.1,1.4
4386, Q2,2017,Manual,47750,Diesel,30,61.4,1.6
4387, A7,2019,Semi-Auto,4100,Diesel,145,47.1,2.0
4388, Q5,2020,Automatic,5362,Diesel,145,38.2,2.0
4389, Q3,2017,Semi-Auto,14950,Petrol,150,42.2,2.0
4390, A5,2017,Semi-Auto,24984,Petrol,150,48.7,2.0
4391, Q5,2016,Automatic,49450,Diesel,200,47.1,2.0
4392, Q7,2018,Automatic,11858,Diesel,145,32.1,3.0
4393, A1,2019,Semi-Auto,547,Petrol,145,44.8,1.5
4394, A6,2014,Manual,75550,Diesel,30,62.8,2.0
4395, A4,2016,Semi-Auto,53340,Petrol,30,53.3,2.0
4396, Q3,2017,Semi-Auto,46862,Diesel,145,55.4,2.0
4397, Q2,2019,Semi-Auto,5445,Diesel,150,47.9,1.6
4398, A3,2014,Manual,22800,Petrol,30,55.4,1.4
4399, A1,2020,Semi-Auto,2420,Petrol,145,44.8,1.5
4400, A3,2019,Semi-Auto,3438,Petrol,150,34.9,2.0
4401, A3,2013,Manual,37141,Diesel,0,74.3,1.6
4402, A4,2019,Semi-Auto,3603,Diesel,150,49.6,2.0
4403, A1,2019,Semi-Auto,4634,Petrol,145,40.9,2.0
4404, A4,2019,Semi-Auto,9937,Petrol,145,38.2,2.0
4405, Q3,2016,Automatic,39603,Diesel,160,50.4,2.0
4406, Q2,2020,Semi-Auto,5000,Petrol,145,42.2,1.5
4407, Q5,2019,Semi-Auto,250,Petrol,150,33.2,2.0
4408, Q5,2019,Automatic,2104,Diesel,150,38.2,2.0
4409, Q2,2019,Semi-Auto,3571,Diesel,145,47.9,1.6
4410, A1,2014,Manual,24764,Diesel,0,74.3,1.6
4411, A4,2016,Manual,44703,Diesel,0,74.3,2.0
4412, Q2,2019,Automatic,6000,Petrol,145,42.2,1.5
4413, Q7,2017,Automatic,36813,Diesel,300,39.2,4.0
4414, Q3,2019,Semi-Auto,14401,Petrol,145,31.7,2.0
4415, A4,2018,Semi-Auto,18557,Petrol,145,50.4,1.4
4416, A3,2017,Semi-Auto,25000,Petrol,150,41.5,2.0
4417, A3,2017,Manual,21637,Diesel,20,67.3,2.0
4418, Q3,2020,Semi-Auto,475,Petrol,145,31.4,2.0
4419, A3,2019,Manual,5530,Diesel,145,51.4,1.6
4420, A3,2015,Manual,49969,Petrol,125,52.3,1.4
4421, A4,2020,Semi-Auto,3999,Diesel,145,49.6,2.0
4422, Q5,2015,Automatic,48164,Diesel,235,42.8,3.0
4423, A5,2015,Semi-Auto,40889,Petrol,260,35.8,3.0
4424, A3,2016,Manual,11369,Diesel,20,65.7,2.0
4425, A3,2019,Semi-Auto,5400,Diesel,145,52.3,1.6
4426, A6,2018,Semi-Auto,18300,Diesel,145,61.4,2.0
4427, A3,2015,Manual,24000,Petrol,20,60.1,1.4
4428, Q5,2012,Manual,95000,Diesel,205,47.9,2.0
4429, A4,2016,Manual,76640,Diesel,30,62.8,2.0
4430, Q5,2019,Semi-Auto,21,Petrol,145,32.1,2.0
4431, Q5,2019,Automatic,3000,Diesel,145,38.2,2.0
4432, Q3,2016,Manual,52080,Diesel,145,52.3,2.0
4433, A4,2016,Manual,34714,Diesel,30,62.8,2.0
4434, Q3,2013,Semi-Auto,34925,Diesel,200,47.9,2.0
4435, A7,2016,Semi-Auto,29000,Diesel,30,62.8,3.0
4436, A6,2018,Semi-Auto,15866,Diesel,145,61.4,2.0
4437, A1,2013,Automatic,29180,Petrol,30,54.3,1.4
4438, A1,2016,Manual,27319,Petrol,0,67.3,1.0
4439, A4,2016,Automatic,56919,Diesel,20,70.6,2.0
4440, A3,2019,Automatic,10000,Diesel,145,54.3,1.6
4441, A3,2015,Manual,20997,Diesel,20,68.9,2.0
4442, A1,2017,Semi-Auto,15017,Petrol,145,64.2,1.0
4443, A4,2016,Automatic,49093,Diesel,30,64.2,2.0
4444, Q2,2017,Manual,21950,Petrol,150,50.4,1.4
4445, Q3,2020,Semi-Auto,4500,Petrol,145,39.2,1.5
