Gender,Education,Occupation Type,Residence Type,Experience Using Metaverse,Age,Annual Salary,Preferred Metaverse Type
other,Elementary school graduate,Fishing industry,Multiple home,yes,14,255415,1
male,Bachelor's degree,Electric power industry,Officetel,no,61,205805,3
other,Master's degree,Water industry,Multiple home,no,2,343153,0
female,Elementary school graduate,Distribution industry,Single-family home,yes,101,299520,2
other,Doctorate,Retail industry,Multiple home,yes,47,361850,0
other,Elementary school graduate,Forestry,Multi-family home,no,2,467923,1
male,Bachelor's degree,Distribution industry,Multi-family home,yes,51,197957,1
male,Middle school graduate,Distribution industry,Single-family home,yes,20,409187,2
female,Elementary school graduate,Water industry,Townhouse,no,56,393134,3
male,Middle school graduate,Repair industry,Single-family home,no,41,49273,1
other,Master's degree,Insurance industry,Townhouse,yes,45,313015,0
female,High school graduate,Water industry,Multi-family home,no,66,84887,2
female,Doctorate,Fishing industry,Multiple home,yes,11,303385,0
other,Master's degree,Distribution industry,Multiple home,no,43,332432,2
male,Middle school graduate,Electric power industry,Officetel,yes,91,508267,1
female,Master's degree,Fishing industry,Multi-family home,yes,73,61997,1
other,Doctorate,Maintenance industry,Officetel,no,69,371800,2
other,Elementary school graduate,Gas industry,Officetel,no,93,35115,0
female,Middle school graduate,Fishing industry,Officetel,no,54,164885,3
male,Master's degree,Fishing industry,Multi-family home,yes,80,278370,2
other,Doctorate,Service industry,Apartment,no,43,437552,0
female,Elementary school graduate,Broadcasting industry,Multiple home,yes,78,23266,3
female,Elementary school graduate,Water industry,Townhouse,no,56,393134,3
male,High school graduate,Service industry,Apartment,yes,94,161885,0
female,Elementary school graduate,Distribution industry,Multi-family home,yes,86,106267,0
female,Master's degree,Manufacturing industry,Multiple home,no,26,207007,2
male,Doctorate,Repair industry,Townhouse,no,51,85347,1
female,Doctorate,Fishing industry,Apartment,no,3,68918,1
other,Bachelor's degree,Repair industry,Multiple home,no,58,233563,3
female,Master's degree,Manufacturing industry,Multi-family home,yes,24,32497,2
female,Doctorate,Water industry,Multi-family home,no,87,266061,1
male,High school graduate,Water industry,Single-family home,no,6,27152,0
female,High school graduate,Mining,Officetel,no,63,266195,0
male,Elementary school graduate,Electric power industry,Single-family home,yes,35,509197,2
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
male,Master's degree,Repair industry,Multiple home,yes,102,330248,1
female,Master's degree,Insurance industry,Officetel,yes,33,412532,0
female,Middle school graduate,Construction industry,Apartment,no,39,401154,3
other,Elementary school graduate,Water industry,Officetel,no,59,128323,1
male,Elementary school graduate,Repair industry,Multiple home,no,91,457330,1
male,Doctorate,Wholesale industry,Multi-family home,yes,16,197312,2
other,Master's degree,Fishing industry,Officetel,yes,89,295961,1
female,Middle school graduate,Agriculture,Officetel,no,17,321581,1
other,Middle school graduate,Insurance industry,Multiple home,yes,27,158347,1
other,Elementary school graduate,Insurance industry,Multiple home,no,16,297344,2
other,High school graduate,Maintenance industry,Multiple home,no,98,88955,2
female,High school graduate,Retail industry,Single-family home,no,74,470326,3
female,Master's degree,Fishing industry,Officetel,no,93,74285,3
other,Bachelor's degree,Maintenance industry,Multiple home,no,7,513123,2
male,High school graduate,Service industry,Apartment,no,51,132412,3
male,Middle school graduate,Mining,Multi-family home,yes,48,403546,1
other,Bachelor's degree,Fishing industry,Multiple home,yes,7,170812,2
other,Elementary school graduate,Forestry,Multiple home,yes,91,124741,2
female,Elementary school graduate,Maintenance industry,Apartment,yes,37,237502,1
male,Elementary school graduate,Mining,Townhouse,no,69,289678,1
female,Bachelor's degree,Electric power industry,Townhouse,no,38,472211,1
other,Master's degree,Broadcasting industry,Multi-family home,yes,23,34860,0
male,Elementary school graduate,Distribution industry,Multi-family home,no,23,376250,0
other,Middle school graduate,Wholesale industry,Townhouse,yes,88,257557,1
female,High school graduate,Manufacturing industry,Multi-family home,no,100,246915,3
male,Doctorate,Retail industry,Multiple home,no,48,359824,2
female,Doctorate,Agriculture,Single-family home,no,90,62253,2
female,Doctorate,Water industry,Multiple home,yes,12,149179,3
male,Elementary school graduate,Mining,Townhouse,no,88,395513,3
female,Elementary school graduate,Electric power industry,Officetel,yes,10,484558,2
male,Master's degree,Distribution industry,Multiple home,yes,18,16596,1
other,High school graduate,Construction industry,Multiple home,yes,85,498421,1
other,High school graduate,Service industry,Apartment,yes,45,112444,3
male,Doctorate,Wholesale industry,Multiple home,no,44,319486,3
male,Elementary school graduate,Mining,Townhouse,no,69,289678,1
male,High school graduate,Water industry,Multiple home,no,87,145422,1
male,Bachelor's degree,Finance industry,Multiple home,no,75,161121,0
female,High school graduate,Gas industry,Apartment,no,39,99007,0
male,Bachelor's degree,Fishing industry,Apartment,yes,15,272832,0
other,Bachelor's degree,Maintenance industry,Apartment,no,68,127306,1
male,Middle school graduate,Water industry,Multi-family home,yes,69,468687,1
female,Middle school graduate,Manufacturing industry,Officetel,yes,4,52978,0
female,Elementary school graduate,Service industry,Multi-family home,yes,26,276044,0
male,High school graduate,Finance industry,Officetel,yes,61,286863,3
male,Middle school graduate,Water industry,Multiple home,yes,8,217292,2
female,Elementary school graduate,Fishing industry,Townhouse,yes,37,461905,0
male,Doctorate,Agriculture,Single-family home,no,12,432034,2
female,Master's degree,Wholesale industry,Apartment,yes,25,364672,1
female,High school graduate,Service industry,Multiple home,yes,46,296980,1
other,Master's degree,Wholesale industry,Apartment,yes,17,388106,0
female,High school graduate,Repair industry,Townhouse,no,39,46801,0
other,Elementary school graduate,Mining,Townhouse,yes,15,137462,2
male,Bachelor's degree,Distribution industry,Townhouse,no,95,36497,3
female,Elementary school graduate,Agriculture,Apartment,no,99,186493,0
other,Bachelor's degree,Agriculture,Single-family home,yes,33,274870,0
male,Elementary school graduate,Agriculture,Multiple home,yes,23,193156,0
male,Master's degree,Distribution industry,Multiple home,no,36,185535,3
other,Bachelor's degree,Maintenance industry,Apartment,no,68,127306,1
male,Master's degree,Service industry,Multi-family home,no,17,243626,3
male,Bachelor's degree,Fishing industry,Apartment,yes,15,272832,0
male,Bachelor's degree,Forestry,Multi-family home,yes,69,160464,3
male,Master's degree,Broadcasting industry,Multiple home,no,48,33398,1
female,Elementary school graduate,Broadcasting industry,Single-family home,no,43,401263,3
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
female,High school graduate,Mining,Officetel,no,63,266195,0
female,Bachelor's degree,Service industry,Single-family home,yes,36,160299,3
female,Doctorate,Service industry,Multi-family home,no,37,449650,1
other,Doctorate,Fishing industry,Townhouse,yes,37,298526,0
other,Master's degree,Mining,Townhouse,no,31,27207,2
male,Elementary school graduate,Water industry,Multi-family home,no,4,355070,2
other,Master's degree,Water industry,Multiple home,no,2,343153,0
other,Doctorate,Gas industry,Multiple home,yes,4,400387,1
other,High school graduate,Fishing industry,Multi-family home,no,77,281701,2
male,High school graduate,Electric power industry,Single-family home,no,56,137744,0
other,Bachelor's degree,Retail industry,Officetel,yes,89,248922,1
female,Bachelor's degree,Broadcasting industry,Apartment,no,16,206929,2
other,Middle school graduate,Wholesale industry,Townhouse,yes,41,217069,1
other,Elementary school graduate,Agriculture,Multiple home,no,44,344700,2
male,Master's degree,Broadcasting industry,Officetel,yes,58,291006,3
male,Middle school graduate,Manufacturing industry,Townhouse,no,10,90360,0
male,Middle school graduate,Broadcasting industry,Townhouse,no,29,461819,0
other,Elementary school graduate,Repair industry,Townhouse,yes,66,464076,3
male,Master's degree,Mining,Single-family home,yes,51,17819,3
male,High school graduate,Retail industry,Townhouse,yes,14,402662,0
male,Elementary school graduate,Fishing industry,Townhouse,yes,49,198081,1
female,Master's degree,Forestry,Single-family home,no,32,151301,3
other,Doctorate,Fishing industry,Single-family home,yes,66,414164,3
other,Doctorate,Forestry,Multiple home,yes,64,33888,3
male,Middle school graduate,Insurance industry,Multiple home,no,34,217384,2
female,High school graduate,Mining,Officetel,no,63,266195,0
other,Bachelor's degree,Retail industry,Single-family home,yes,96,116931,1
male,Middle school graduate,Manufacturing industry,Single-family home,yes,24,418290,2
female,Middle school graduate,Wholesale industry,Multi-family home,no,35,348507,3
other,Doctorate,Repair industry,Single-family home,yes,70,26887,1
other,Elementary school graduate,Wholesale industry,Townhouse,yes,86,145895,3
male,Doctorate,Construction industry,Officetel,no,91,137238,0
male,Bachelor's degree,Mining,Multiple home,no,25,98900,1
male,High school graduate,Agriculture,Townhouse,no,79,412541,0
male,Elementary school graduate,Repair industry,Multiple home,no,91,457330,1
female,Elementary school graduate,Broadcasting industry,Multiple home,yes,78,23266,3
female,Bachelor's degree,Broadcasting industry,Apartment,yes,2,349877,2
male,Bachelor's degree,Distribution industry,Townhouse,no,95,36497,3
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
male,Doctorate,Mining,Single-family home,yes,91,19480,3
male,High school graduate,Fishing industry,Apartment,yes,88,86263,2
other,Elementary school graduate,Fishing industry,Officetel,yes,31,79718,3
female,Elementary school graduate,Electric power industry,Multi-family home,no,46,299664,2
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
female,Bachelor's degree,Manufacturing industry,Apartment,no,55,160142,3
female,Bachelor's degree,Distribution industry,Officetel,no,83,484780,0
other,Doctorate,Broadcasting industry,Single-family home,yes,3,408966,1
female,Doctorate,Manufacturing industry,Officetel,no,80,127683,1
female,Bachelor's degree,Finance industry,Multi-family home,yes,96,299377,3
other,Middle school graduate,Mining,Officetel,yes,46,154642,2
male,Bachelor's degree,Forestry,Multi-family home,yes,69,160464,3
male,Doctorate,Broadcasting industry,Multi-family home,no,11,364722,2
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
other,Bachelor's degree,Agriculture,Officetel,yes,11,233528,2
other,Elementary school graduate,Agriculture,Multiple home,no,44,344700,2
male,High school graduate,Insurance industry,Multiple home,no,35,134662,3
male,Middle school graduate,Mining,Multi-family home,yes,48,403546,1
male,Bachelor's degree,Electric power industry,Officetel,no,61,205805,3
male,Middle school graduate,Retail industry,Single-family home,yes,76,153016,1
male,Doctorate,Electric power industry,Multi-family home,yes,70,193877,0
other,Bachelor's degree,Mining,Apartment,yes,75,351161,0
other,High school graduate,Mining,Officetel,no,46,440952,0
male,Doctorate,Forestry,Multiple home,yes,83,461381,1
other,High school graduate,Service industry,Multi-family home,yes,13,58962,1
female,Doctorate,Manufacturing industry,Officetel,no,80,127683,1
female,Doctorate,Agriculture,Single-family home,no,90,62253,2
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
other,Doctorate,Water industry,Single-family home,yes,85,366188,3
male,Bachelor's degree,Mining,Single-family home,no,23,408636,1
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
female,Bachelor's degree,Fishing industry,Single-family home,no,96,44533,3
male,Doctorate,Service industry,Officetel,no,63,138113,1
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
other,High school graduate,Fishing industry,Officetel,yes,30,185723,0
female,High school graduate,Retail industry,Single-family home,no,74,470326,3
female,Doctorate,Fishing industry,Officetel,yes,17,491279,0
other,Bachelor's degree,Retail industry,Multi-family home,yes,67,209801,2
male,Doctorate,Insurance industry,Townhouse,no,53,359172,2
female,Middle school graduate,Electric power industry,Multiple home,no,72,24869,1
female,Middle school graduate,Gas industry,Townhouse,no,59,53285,3
other,Middle school graduate,Forestry,Townhouse,no,73,381081,2
female,High school graduate,Mining,Multi-family home,yes,77,428513,1
male,High school graduate,Agriculture,Apartment,yes,62,22482,1
male,High school graduate,Water industry,Apartment,no,69,119518,0
male,High school graduate,Manufacturing industry,Apartment,yes,75,235872,1
other,Middle school graduate,Insurance industry,Multiple home,yes,27,158347,1
other,High school graduate,Mining,Multiple home,no,64,360551,3
female,Master's degree,Electric power industry,Officetel,yes,2,364323,1
other,Master's degree,Construction industry,Officetel,no,16,19624,3
female,Elementary school graduate,Mining,Apartment,yes,57,365183,3
other,Master's degree,Maintenance industry,Apartment,no,38,432999,2
male,Doctorate,Agriculture,Multiple home,yes,16,204605,0
female,Bachelor's degree,Maintenance industry,Single-family home,yes,45,403373,2
female,Elementary school graduate,Service industry,Apartment,yes,40,97704,3
male,Doctorate,Retail industry,Multiple home,no,48,359824,2
other,High school graduate,Mining,Officetel,no,46,440952,0
female,High school graduate,Distribution industry,Apartment,no,28,234063,3
female,Middle school graduate,Construction industry,Apartment,no,39,401154,3
male,Bachelor's degree,Retail industry,Single-family home,no,2,392190,0
other,Elementary school graduate,Wholesale industry,Townhouse,yes,73,20737,3
female,Bachelor's degree,Service industry,Single-family home,yes,36,160299,3
male,Master's degree,Broadcasting industry,Multiple home,no,48,33398,1
female,Master's degree,Mining,Multiple home,yes,26,172331,1
male,Middle school graduate,Maintenance industry,Multi-family home,yes,24,260831,3
other,Master's degree,Maintenance industry,Townhouse,yes,87,13705,2
male,Bachelor's degree,Electric power industry,Officetel,no,61,205805,3
female,Middle school graduate,Wholesale industry,Multi-family home,no,21,126357,2
other,Middle school graduate,Wholesale industry,Townhouse,yes,41,217069,1
other,Elementary school graduate,Fishing industry,Townhouse,no,11,288854,0
male,Middle school graduate,Electric power industry,Officetel,yes,79,309246,1
female,Bachelor's degree,Service industry,Multiple home,yes,41,336383,2
male,High school graduate,Gas industry,Officetel,yes,20,402899,0
male,Master's degree,Manufacturing industry,Single-family home,yes,92,397211,2
female,Bachelor's degree,Agriculture,Officetel,yes,62,390219,3
other,Elementary school graduate,Insurance industry,Apartment,no,87,170121,1
other,Doctorate,Finance industry,Officetel,yes,75,152814,0
female,Doctorate,Manufacturing industry,Apartment,no,45,239391,1
male,Middle school graduate,Broadcasting industry,Multiple home,yes,69,201185,3
other,Elementary school graduate,Wholesale industry,Townhouse,yes,86,145895,3
male,High school graduate,Service industry,Apartment,yes,94,161885,0
other,Elementary school graduate,Construction industry,Multiple home,yes,13,197391,1
female,Middle school graduate,Service industry,Townhouse,no,43,438764,0
male,Bachelor's degree,Manufacturing industry,Single-family home,yes,27,37258,2
male,Middle school graduate,Manufacturing industry,Apartment,yes,59,472103,3
female,Bachelor's degree,Construction industry,Officetel,yes,16,59356,2
other,Doctorate,Maintenance industry,Multiple home,yes,53,410669,3
male,Middle school graduate,Distribution industry,Multi-family home,yes,94,493893,3
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
male,High school graduate,Water industry,Apartment,no,69,119518,0
male,Bachelor's degree,Agriculture,Officetel,no,89,93297,1
male,Elementary school graduate,Finance industry,Apartment,yes,75,327261,2
female,High school graduate,Service industry,Officetel,no,7,471202,2
other,Doctorate,Fishing industry,Single-family home,yes,66,414164,3
other,High school graduate,Finance industry,Apartment,no,31,377974,0
female,Middle school graduate,Construction industry,Apartment,no,95,493814,2
male,Bachelor's degree,Retail industry,Multi-family home,yes,25,349178,0
other,Elementary school graduate,Fishing industry,Multiple home,yes,14,255415,1
other,Middle school graduate,Electric power industry,Single-family home,yes,93,146400,3
female,Middle school graduate,Agriculture,Multi-family home,yes,61,95370,1
female,Master's degree,Water industry,Townhouse,yes,55,194234,2
male,Elementary school graduate,Service industry,Multiple home,yes,43,101776,3
female,Elementary school graduate,Electric power industry,Officetel,yes,10,484558,2
female,Bachelor's degree,Insurance industry,Multiple home,yes,7,485380,1
male,Middle school graduate,Fishing industry,Townhouse,no,10,443042,1
other,Bachelor's degree,Agriculture,Officetel,yes,11,233528,2
other,Bachelor's degree,Manufacturing industry,Multiple home,yes,20,260998,3
male,Doctorate,Construction industry,Multi-family home,no,50,409420,1
other,Elementary school graduate,Water industry,Officetel,no,59,128323,1
male,Middle school graduate,Insurance industry,Multiple home,no,34,217384,2
other,Doctorate,Water industry,Apartment,no,65,86976,1
female,High school graduate,Retail industry,Single-family home,yes,97,405418,0
male,Bachelor's degree,Retail industry,Officetel,no,18,193290,3
female,Master's degree,Forestry,Multi-family home,no,92,286738,1
female,Middle school graduate,Insurance industry,Officetel,yes,96,440264,2
male,Master's degree,Mining,Apartment,yes,90,92859,1
female,Middle school graduate,Gas industry,Multi-family home,yes,33,289192,2
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
male,High school graduate,Finance industry,Single-family home,yes,89,302289,1
other,Elementary school graduate,Water industry,Multi-family home,yes,71,209744,1
other,Elementary school graduate,Electric power industry,Single-family home,no,92,318919,3
male,Elementary school graduate,Finance industry,Multiple home,yes,87,452297,2
female,Elementary school graduate,Mining,Apartment,no,12,432546,3
female,Master's degree,Agriculture,Single-family home,yes,78,37521,0
other,Master's degree,Distribution industry,Multi-family home,no,38,298520,0
female,Middle school graduate,Agriculture,Apartment,no,50,38946,1
other,Elementary school graduate,Agriculture,Townhouse,yes,85,71462,3
other,Elementary school graduate,Construction industry,Multiple home,yes,13,197391,1
other,Bachelor's degree,Fishing industry,Multiple home,yes,7,170812,2
other,Master's degree,Insurance industry,Multiple home,yes,44,155588,2
other,High school graduate,Mining,Officetel,no,46,440952,0
female,Elementary school graduate,Maintenance industry,Apartment,yes,37,237502,1
male,Elementary school graduate,Service industry,Townhouse,no,62,175648,1
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
male,Elementary school graduate,Retail industry,Multiple home,no,84,14263,0
other,High school graduate,Distribution industry,Officetel,no,48,442500,2
female,Bachelor's degree,Construction industry,Officetel,yes,16,59356,2
female,Doctorate,Wholesale industry,Multiple home,no,34,427246,3
male,High school graduate,Construction industry,Single-family home,no,42,59800,2
male,Master's degree,Finance industry,Apartment,no,49,434527,3
other,Middle school graduate,Insurance industry,Multiple home,no,99,391304,3
male,Elementary school graduate,Fishing industry,Single-family home,no,9,206391,0
other,Master's degree,Retail industry,Single-family home,no,99,88976,0
female,High school graduate,Finance industry,Multi-family home,yes,59,214471,0
other,Doctorate,Retail industry,Multiple home,yes,47,361850,0
male,Elementary school graduate,Repair industry,Apartment,yes,90,478909,0
male,Middle school graduate,Broadcasting industry,Single-family home,yes,59,477224,1
female,Bachelor's degree,Insurance industry,Apartment,no,80,77483,1
male,Elementary school graduate,Repair industry,Apartment,no,93,36785,0
female,Middle school graduate,Gas industry,Townhouse,no,59,53285,3
female,High school graduate,Service industry,Multiple home,yes,46,296980,1
other,Elementary school graduate,Repair industry,Townhouse,yes,66,464076,3
female,High school graduate,Gas industry,Apartment,no,39,99007,0
male,High school graduate,Broadcasting industry,Single-family home,no,58,220175,1
male,Middle school graduate,Mining,Multi-family home,yes,48,403546,1
male,High school graduate,Gas industry,Officetel,yes,20,402899,0
other,Doctorate,Finance industry,Officetel,yes,73,9520,3
other,Bachelor's degree,Insurance industry,Multiple home,yes,87,101142,2
male,Elementary school graduate,Retail industry,Multiple home,no,84,14263,0
other,Middle school graduate,Construction industry,Townhouse,no,14,63617,1
male,Middle school graduate,Retail industry,Multiple home,no,65,369787,1
male,Middle school graduate,Construction industry,Multiple home,no,92,110270,0
male,Doctorate,Mining,Single-family home,yes,91,19480,3
female,High school graduate,Distribution industry,Townhouse,yes,19,246256,1
male,High school graduate,Fishing industry,Apartment,yes,88,86263,2
other,Master's degree,Electric power industry,Townhouse,no,67,313061,3
other,High school graduate,Repair industry,Apartment,no,67,32500,1
other,High school graduate,Finance industry,Apartment,no,31,377974,0
male,Doctorate,Broadcasting industry,Multiple home,yes,76,64609,1
other,High school graduate,Repair industry,Apartment,no,67,32500,1
female,High school graduate,Manufacturing industry,Multi-family home,no,100,246915,3
male,Master's degree,Mining,Apartment,yes,67,333586,0
female,Middle school graduate,Wholesale industry,Multi-family home,no,35,348507,3
other,Doctorate,Forestry,Multiple home,yes,64,33888,3
female,Middle school graduate,Fishing industry,Apartment,no,27,66962,1
other,Master's degree,Wholesale industry,Apartment,no,60,322609,0
other,Master's degree,Distribution industry,Townhouse,no,16,78089,2
female,Master's degree,Mining,Multiple home,yes,26,172331,1
other,Middle school graduate,Electric power industry,Single-family home,yes,93,146400,3
other,Doctorate,Maintenance industry,Single-family home,no,57,267600,2
female,Elementary school graduate,Maintenance industry,Multi-family home,no,37,375927,0
male,Middle school graduate,Distribution industry,Single-family home,yes,20,409187,2
other,Middle school graduate,Water industry,Single-family home,no,58,398170,2
female,Master's degree,Agriculture,Single-family home,yes,78,37521,0
male,High school graduate,Electric power industry,Townhouse,no,69,479294,1
female,Master's degree,Repair industry,Multiple home,no,9,259078,2
male,High school graduate,Manufacturing industry,Townhouse,no,69,9919,2
female,Doctorate,Fishing industry,Townhouse,yes,36,54457,1
female,Doctorate,Finance industry,Multiple home,no,91,48933,3
other,High school graduate,Electric power industry,Townhouse,yes,87,222899,3
female,High school graduate,Finance industry,Multi-family home,yes,59,214471,0
male,High school graduate,Broadcasting industry,Multi-family home,no,25,307438,3
other,Middle school graduate,Gas industry,Multiple home,yes,36,148052,0
male,Master's degree,Maintenance industry,Officetel,yes,14,97069,2
other,Doctorate,Service industry,Apartment,no,43,437552,0
other,Master's degree,Finance industry,Multiple home,no,11,77936,2
female,Middle school graduate,Forestry,Townhouse,no,57,344321,0
female,Doctorate,Electric power industry,Officetel,yes,23,213618,0
male,Bachelor's degree,Electric power industry,Officetel,no,61,205805,3
male,Master's degree,Forestry,Officetel,no,25,173201,1
male,Middle school graduate,Retail industry,Multiple home,no,65,369787,1
male,High school graduate,Finance industry,Officetel,yes,61,286863,3
other,Elementary school graduate,Wholesale industry,Townhouse,yes,73,20737,3
other,Elementary school graduate,Fishing industry,Apartment,yes,86,43535,2
other,High school graduate,Distribution industry,Multiple home,no,54,344530,1
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
male,Master's degree,Manufacturing industry,Single-family home,yes,92,397211,2
male,Bachelor's degree,Manufacturing industry,Multi-family home,no,45,101502,3
female,Bachelor's degree,Manufacturing industry,Apartment,no,55,160142,3
female,Doctorate,Service industry,Townhouse,yes,48,247803,0
female,Elementary school graduate,Maintenance industry,Townhouse,yes,85,23606,3
male,High school graduate,Broadcasting industry,Multi-family home,no,25,307438,3
male,Bachelor's degree,Retail industry,Officetel,no,28,77350,2
female,Elementary school graduate,Mining,Townhouse,no,80,344374,3
female,Elementary school graduate,Agriculture,Apartment,no,99,186493,0
male,Elementary school graduate,Broadcasting industry,Single-family home,yes,86,129291,2
other,Elementary school graduate,Distribution industry,Multiple home,no,73,141074,1
other,Elementary school graduate,Electric power industry,Single-family home,yes,3,408829,3
other,Doctorate,Fishing industry,Townhouse,yes,37,298526,0
female,Middle school graduate,Repair industry,Multiple home,yes,19,117949,0
male,Doctorate,Fishing industry,Apartment,yes,59,239642,0
male,Middle school graduate,Electric power industry,Officetel,yes,91,508267,1
other,Middle school graduate,Gas industry,Multiple home,yes,36,148052,0
female,Bachelor's degree,Maintenance industry,Single-family home,no,89,475261,2
male,Middle school graduate,Electric power industry,Officetel,yes,79,309246,1
other,Master's degree,Gas industry,Apartment,yes,10,100223,3
other,Middle school graduate,Distribution industry,Single-family home,yes,85,475196,3
male,High school graduate,Fishing industry,Apartment,no,62,78131,3
female,Middle school graduate,Mining,Apartment,no,97,239136,0
female,Middle school graduate,Repair industry,Apartment,yes,10,337140,2
male,Master's degree,Mining,Multi-family home,no,51,61303,2
other,Doctorate,Construction industry,Single-family home,no,50,485436,1
male,High school graduate,Electric power industry,Single-family home,no,56,137744,0
male,Bachelor's degree,Fishing industry,Townhouse,yes,91,138421,3
male,Bachelor's degree,Finance industry,Multiple home,no,75,161121,0
other,Elementary school graduate,Finance industry,Single-family home,no,69,52820,0
other,Master's degree,Broadcasting industry,Single-family home,yes,74,256499,0
female,Middle school graduate,Fishing industry,Apartment,no,27,66962,1
male,Doctorate,Manufacturing industry,Officetel,no,19,450912,1
other,High school graduate,Fishing industry,Apartment,no,58,360844,1
male,Middle school graduate,Manufacturing industry,Apartment,yes,57,43691,3
other,Bachelor's degree,Insurance industry,Townhouse,yes,36,140911,1
other,Elementary school graduate,Distribution industry,Multiple home,yes,32,77186,2
female,Elementary school graduate,Maintenance industry,Apartment,no,88,367985,1
other,Master's degree,Manufacturing industry,Multi-family home,yes,77,326114,0
female,Master's degree,Fishing industry,Single-family home,yes,2,58014,3
male,Master's degree,Service industry,Multi-family home,no,17,243626,3
female,Middle school graduate,Electric power industry,Multiple home,yes,40,259885,0
female,High school graduate,Mining,Multi-family home,yes,77,428513,1
other,Middle school graduate,Construction industry,Townhouse,yes,50,264737,0
other,Bachelor's degree,Mining,Multiple home,no,32,131049,3
male,Master's degree,Forestry,Officetel,no,25,173201,1
female,High school graduate,Construction industry,Multi-family home,yes,40,332220,0
male,Master's degree,Wholesale industry,Multi-family home,yes,47,438335,1
female,Bachelor's degree,Insurance industry,Apartment,no,80,77483,1
other,Middle school graduate,Construction industry,Townhouse,yes,50,264737,0
male,Master's degree,Wholesale industry,Townhouse,no,91,407590,0
female,Doctorate,Retail industry,Single-family home,yes,62,78548,2
other,Master's degree,Maintenance industry,Multi-family home,no,95,493601,3
other,Master's degree,Water industry,Multiple home,no,2,343153,0
male,Elementary school graduate,Manufacturing industry,Apartment,no,58,324845,1
other,Master's degree,Insurance industry,Townhouse,yes,45,313015,0
male,Doctorate,Water industry,Multi-family home,yes,102,41942,3
other,Master's degree,Insurance industry,Townhouse,yes,56,235911,0
other,High school graduate,Mining,Multiple home,no,64,360551,3
male,Middle school graduate,Fishing industry,Multiple home,yes,11,287793,3
male,Doctorate,Fishing industry,Apartment,yes,59,239642,0
other,Doctorate,Retail industry,Multi-family home,yes,67,282530,1
other,Middle school graduate,Water industry,Multiple home,no,33,171833,3
female,Master's degree,Gas industry,Officetel,no,54,48988,1
other,Elementary school graduate,Service industry,Multi-family home,yes,85,337092,1
other,Bachelor's degree,Finance industry,Multiple home,no,33,353517,2
other,Master's degree,Electric power industry,Multi-family home,no,61,264384,3
other,High school graduate,Finance industry,Multiple home,no,6,506572,0
other,High school graduate,Service industry,Single-family home,yes,22,280405,0
female,Doctorate,Wholesale industry,Apartment,yes,58,34041,3
female,Master's degree,Distribution industry,Multiple home,no,89,317233,1
male,Master's degree,Maintenance industry,Officetel,yes,14,97069,2
male,High school graduate,Wholesale industry,Townhouse,no,57,383231,1
other,Master's degree,Service industry,Apartment,no,11,290950,0
female,Middle school graduate,Insurance industry,Officetel,no,56,436840,2
male,High school graduate,Forestry,Townhouse,no,10,191113,0
other,High school graduate,Construction industry,Multiple home,yes,85,498421,1
female,Doctorate,Mining,Apartment,no,24,384866,1
other,Middle school graduate,Insurance industry,Officetel,no,71,132149,1
female,Elementary school graduate,Maintenance industry,Apartment,yes,37,237502,1
other,Elementary school graduate,Electric power industry,Apartment,no,50,123964,0
male,Master's degree,Electric power industry,Apartment,yes,47,62772,2
male,Middle school graduate,Electric power industry,Single-family home,yes,27,271629,3
female,Bachelor's degree,Service industry,Single-family home,yes,36,160299,3
female,High school graduate,Finance industry,Officetel,no,24,391276,2
male,Master's degree,Gas industry,Single-family home,no,52,41848,1
male,Middle school graduate,Construction industry,Multiple home,no,92,110270,0
female,Middle school graduate,Wholesale industry,Multi-family home,no,35,348507,3
male,High school graduate,Gas industry,Multi-family home,no,14,305604,3
male,Doctorate,Distribution industry,Townhouse,yes,18,401594,3
male,Doctorate,Forestry,Apartment,yes,91,136971,2
female,High school graduate,Mining,Officetel,yes,94,42958,1
other,High school graduate,Distribution industry,Multiple home,no,54,344530,1
female,High school graduate,Fishing industry,Apartment,no,15,113280,1
male,High school graduate,Agriculture,Officetel,yes,11,359600,1
female,Elementary school graduate,Manufacturing industry,Multiple home,yes,68,138419,0
female,Elementary school graduate,Construction industry,Officetel,yes,89,420893,0
male,High school graduate,Finance industry,Officetel,yes,7,423289,0
other,Bachelor's degree,Gas industry,Apartment,yes,39,313642,0
male,Doctorate,Agriculture,Officetel,no,68,398445,0
female,High school graduate,Service industry,Multiple home,yes,46,296980,1
male,Elementary school graduate,Agriculture,Multiple home,no,15,279716,0
male,Elementary school graduate,Maintenance industry,Single-family home,no,94,39204,1
male,Middle school graduate,Broadcasting industry,Single-family home,yes,59,477224,1
