소방서ID,신고접수시간,출발시간,도착시간
StationQ,2023-06-27 12:54,2023-06-27 12:56,2023-06-27 13:22
StationT,2023-08-15 8:28,2023-08-15 8:30,2023-08-15 8:55
StationB,2023-07-13 5:45,2023-07-13 5:50,2023-07-13 6:28
StationL,2023-07-22 12:59,2023-07-22 13:04,2023-07-22 13:14
StationL,2023-07-25 20:33,2023-07-25 20:36,2023-07-25 21:01
StationA,2023-08-18 8:30,2023-08-18 8:34,2023-08-18 9:04
StationN,2023-04-08 21:12,2023-04-08 21:14,2023-04-08 21:48
StationM,2023-01-16 7:57,2023-01-16 8:00,2023-01-16 8:37
StationF,2023-10-06 18:58,2023-10-06 19:00,2023-10-06 19:30
StationS,2023-02-03 4:01,2023-02-03 4:05,2023-02-03 4:48
StationF,2023-09-15 0:06,2023-09-15 0:11,2023-09-15 1:01
StationX,2023-09-22 10:18,2023-09-22 10:21,2023-09-22 11:00
StationL,2023-01-09 20:47,2023-01-09 20:48,2023-01-09 21:13
StationH,2023-07-24 22:00,2023-07-24 22:03,2023-07-24 22:31
StationF,2023-04-05 23:18,2023-04-05 23:21,2023-04-06 0:08
StationN,2023-01-31 8:58,2023-01-31 9:02,2023-01-31 9:43
StationL,2023-10-15 0:28,2023-10-15 0:32,2023-10-15 1:31
StationJ,2023-06-07 1:38,2023-06-07 1:43,2023-06-07 2:21
StationW,2023-06-15 6:44,2023-06-15 6:46,2023-06-15 7:09
StationM,2023-12-10 5:33,2023-12-10 5:35,2023-12-10 5:50
StationD,2023-07-15 22:56,2023-07-15 23:01,2023-07-15 23:50
StationO,2023-04-26 0:41,2023-04-26 0:43,2023-04-26 1:23
StationN,2023-06-15 22:58,2023-06-15 23:03,2023-06-15 23:53
StationL,2023-03-13 19:07,2023-03-13 19:12,2023-03-13 19:33
StationT,2023-06-06 7:57,2023-06-06 7:58,2023-06-06 8:02
StationP,2023-12-08 1:31,2023-12-08 1:32,2023-12-08 2:13
StationI,2023-07-30 1:32,2023-07-30 1:37,2023-07-30 2:01
StationP,2023-01-16 17:27,2023-01-16 17:31,2023-01-16 18:19
StationF,2023-05-28 16:40,2023-05-28 16:44,2023-05-28 16:54
StationC,2023-02-09 3:54,2023-02-09 3:55,2023-02-09 4:26
StationE,2023-02-26 17:27,2023-02-26 17:30,2023-02-26 18:22
StationO,2023-03-26 5:11,2023-03-26 5:16,2023-03-26 5:18
StationA,2023-08-19 9:18,2023-08-19 9:20,2023-08-19 9:49
StationW,2023-08-31 10:22,2023-08-31 10:26,2023-08-31 11:10
StationH,2023-07-09 8:46,2023-07-09 8:48,2023-07-09 8:56
StationF,2023-06-21 21:56,2023-06-21 22:01,2023-06-21 22:58
StationK,2023-04-01 4:16,2023-04-01 4:19,2023-04-01 5:11
StationC,2023-11-23 4:50,2023-11-23 4:52,2023-11-23 5:24
StationJ,2023-08-26 1:11,2023-08-26 1:16,2023-08-26 1:25
StationF,2023-01-14 1:18,2023-01-14 1:19,2023-01-14 1:46
StationI,2023-07-31 22:17,2023-07-31 22:20,2023-07-31 23:08
StationW,2023-10-25 18:45,2023-10-25 18:46,2023-10-25 19:40
StationD,2023-05-06 10:12,2023-05-06 10:14,2023-05-06 11:02
StationZ,2023-05-20 19:49,2023-05-20 19:54,2023-05-20 20:36
StationR,2023-02-13 21:13,2023-02-13 21:18,2023-02-13 22:17
StationB,2023-11-21 14:54,2023-11-21 14:55,2023-11-21 15:41
StationH,2023-07-26 10:46,2023-07-26 10:49,2023-07-26 10:51
StationT,2023-07-02 16:03,2023-07-02 16:04,2023-07-02 16:06
StationZ,2023-08-07 11:09,2023-08-07 11:14,2023-08-07 12:07
StationN,2023-11-28 8:33,2023-11-28 8:37,2023-11-28 8:42
StationV,2023-06-24 12:50,2023-06-24 12:53,2023-06-24 13:29
StationX,2023-11-28 13:24,2023-11-28 13:26,2023-11-28 14:05
StationY,2023-10-20 15:19,2023-10-20 15:21,2023-10-20 15:25
StationB,2023-04-01 5:13,2023-04-01 5:16,2023-04-01 5:57
StationS,2023-12-22 22:31,2023-12-22 22:36,2023-12-22 23:30
StationI,2023-11-04 4:57,2023-11-04 4:59,2023-11-04 5:03
StationR,2023-07-11 14:30,2023-07-11 14:34,2023-07-11 15:14
StationN,2023-02-18 1:00,2023-02-18 1:01,2023-02-18 1:27
StationL,2023-11-30 16:57,2023-11-30 16:58,2023-11-30 17:25
StationJ,2023-10-10 18:57,2023-10-10 19:02,2023-10-10 19:14
StationH,2023-05-11 17:53,2023-05-11 17:58,2023-05-11 18:33
StationC,2023-05-26 22:00,2023-05-26 22:04,2023-05-26 22:39
StationL,2023-07-09 15:05,2023-07-09 15:10,2023-07-09 15:27
StationZ,2023-06-12 11:47,2023-06-12 11:48,2023-06-12 12:44
StationU,2023-10-14 5:54,2023-10-14 5:59,2023-10-14 6:51
StationI,2023-12-17 23:18,2023-12-17 23:21,2023-12-18 0:05
StationB,2023-09-10 11:50,2023-09-10 11:53,2023-09-10 12:14
StationZ,2023-02-05 17:38,2023-02-05 17:42,2023-02-05 18:37
StationU,2023-10-30 14:04,2023-10-30 14:06,2023-10-30 14:27
StationL,2023-04-15 8:36,2023-04-15 8:37,2023-04-15 9:29
StationO,2023-06-03 11:43,2023-06-03 11:46,2023-06-03 12:26
StationT,2023-11-16 20:40,2023-11-16 20:44,2023-11-16 21:11
StationU,2023-04-17 3:13,2023-04-17 3:14,2023-04-17 3:41
StationT,2023-09-05 17:46,2023-09-05 17:49,2023-09-05 18:18
StationP,2023-07-09 15:30,2023-07-09 15:31,2023-07-09 15:32
StationH,2023-04-27 4:53,2023-04-27 4:55,2023-04-27 5:06
StationE,2023-01-17 10:48,2023-01-17 10:53,2023-01-17 11:42
StationL,2023-08-20 11:17,2023-08-20 11:19,2023-08-20 11:49
StationE,2023-04-04 20:00,2023-04-04 20:01,2023-04-04 20:32
StationD,2023-10-10 15:23,2023-10-10 15:28,2023-10-10 15:30
StationG,2023-09-03 7:54,2023-09-03 7:55,2023-09-03 8:11
StationC,2023-12-14 3:00,2023-12-14 3:04,2023-12-14 3:56
StationM,2023-12-15 6:13,2023-12-15 6:16,2023-12-15 6:46
StationJ,2023-06-26 6:06,2023-06-26 6:08,2023-06-26 7:08
StationA,2023-01-28 5:10,2023-01-28 5:11,2023-01-28 5:27
StationP,2023-05-11 22:13,2023-05-11 22:15,2023-05-11 22:40
StationX,2023-10-03 4:14,2023-10-03 4:15,2023-10-03 4:36
StationP,2023-08-25 4:13,2023-08-25 4:15,2023-08-25 5:11
StationC,2023-06-28 0:21,2023-06-28 0:23,2023-06-28 1:11
StationR,2023-11-15 0:57,2023-11-15 1:00,2023-11-15 1:40
StationW,2023-01-19 6:15,2023-01-19 6:16,2023-01-19 6:59
StationT,2023-10-22 21:56,2023-10-22 21:59,2023-10-22 22:02
StationR,2023-07-23 16:11,2023-07-23 16:14,2023-07-23 16:27
StationO,2023-08-26 9:57,2023-08-26 10:01,2023-08-26 10:06
StationY,2023-06-02 3:45,2023-06-02 3:50,2023-06-02 3:58
StationN,2023-02-16 19:11,2023-02-16 19:16,2023-02-16 20:10
StationT,2023-04-01 7:43,2023-04-01 7:47,2023-04-01 7:49
StationD,2023-09-15 6:10,2023-09-15 6:13,2023-09-15 6:42
StationX,2023-05-25 22:34,2023-05-25 22:37,2023-05-25 23:21
StationE,2023-03-12 12:20,2023-03-12 12:22,2023-03-12 12:27
StationW,2023-08-15 5:51,2023-08-15 5:55,2023-08-15 6:46
StationA,2023-11-28 11:20,2023-11-28 11:23,2023-11-28 11:40
StationI,2023-07-15 21:44,2023-07-15 21:46,2023-07-15 22:08
StationW,2023-01-18 2:18,2023-01-18 2:20,2023-01-18 3:11
StationU,2023-04-27 8:30,2023-04-27 8:31,2023-04-27 8:43
StationT,2023-12-26 4:11,2023-12-26 4:14,2023-12-26 4:39
StationR,2023-04-10 0:16,2023-04-10 0:20,2023-04-10 0:27
StationG,2023-02-03 10:55,2023-02-03 10:57,2023-02-03 11:50
StationS,2023-11-17 3:27,2023-11-17 3:29,2023-11-17 4:26
StationY,2023-04-02 1:28,2023-04-02 1:31,2023-04-02 2:03
StationH,2023-02-05 22:21,2023-02-05 22:23,2023-02-05 22:57
StationC,2023-08-23 8:43,2023-08-23 8:47,2023-08-23 9:38
StationF,2023-07-14 17:50,2023-07-14 17:53,2023-07-14 18:09
StationX,2023-08-15 18:08,2023-08-15 18:09,2023-08-15 18:37
StationR,2023-11-17 22:43,2023-11-17 22:48,2023-11-17 22:59
StationE,2023-11-11 10:33,2023-11-11 10:35,2023-11-11 10:45
StationG,2023-12-22 9:28,2023-12-22 9:29,2023-12-22 9:50
StationJ,2023-07-30 23:32,2023-07-30 23:36,2023-07-30 23:37
StationY,2023-08-27 17:38,2023-08-27 17:43,2023-08-27 18:39
StationY,2023-01-02 18:14,2023-01-02 18:18,2023-01-02 18:55
StationI,2023-12-11 22:32,2023-12-11 22:37,2023-12-11 22:58
StationJ,2023-04-17 23:43,2023-04-17 23:48,2023-04-18 0:16
StationK,2023-10-30 2:33,2023-10-30 2:38,2023-10-30 2:54
StationT,2023-12-14 4:50,2023-12-14 4:51,2023-12-14 5:32
StationY,2023-05-10 13:24,2023-05-10 13:26,2023-05-10 14:22
StationV,2023-07-31 4:07,2023-07-31 4:12,2023-07-31 4:16
StationO,2023-10-20 17:24,2023-10-20 17:27,2023-10-20 17:39
StationV,2023-07-09 11:36,2023-07-09 11:39,2023-07-09 12:07
StationC,2023-03-08 1:08,2023-03-08 1:10,2023-03-08 2:06
StationJ,2023-06-27 12:10,2023-06-27 12:11,2023-06-27 13:02
StationY,2023-04-11 11:03,2023-04-11 11:07,2023-04-11 12:00
StationF,2023-08-14 0:54,2023-08-14 0:57,2023-08-14 1:24
StationL,2023-05-04 17:18,2023-05-04 17:19,2023-05-04 17:44
StationN,2023-09-08 6:19,2023-09-08 6:22,2023-09-08 7:00
StationU,2023-07-20 8:50,2023-07-20 8:55,2023-07-20 9:03
StationR,2023-08-24 10:59,2023-08-24 11:02,2023-08-24 11:32
StationJ,2023-09-14 4:17,2023-09-14 4:20,2023-09-14 4:43
StationP,2023-10-13 14:45,2023-10-13 14:46,2023-10-13 15:14
StationR,2023-07-01 10:48,2023-07-01 10:51,2023-07-01 11:22
StationS,2023-10-23 10:22,2023-10-23 10:23,2023-10-23 10:46
StationL,2023-07-31 13:01,2023-07-31 13:03,2023-07-31 13:17
StationA,2023-04-30 0:54,2023-04-30 0:56,2023-04-30 0:57
StationI,2023-08-23 6:51,2023-08-23 6:55,2023-08-23 7:39
StationF,2023-02-01 4:44,2023-02-01 4:49,2023-02-01 5:10
StationW,2023-07-20 9:51,2023-07-20 9:54,2023-07-20 10:40
StationK,2023-07-12 21:02,2023-07-12 21:06,2023-07-12 21:17
StationT,2023-01-18 11:14,2023-01-18 11:15,2023-01-18 11:25
StationX,2023-09-14 3:04,2023-09-14 3:05,2023-09-14 3:42
StationB,2023-07-13 2:27,2023-07-13 2:32,2023-07-13 2:47
StationG,2023-04-15 16:17,2023-04-15 16:19,2023-04-15 17:11
StationE,2023-03-15 0:17,2023-03-15 0:22,2023-03-15 0:32
StationM,2023-07-26 14:01,2023-07-26 14:04,2023-07-26 14:37
StationY,2023-05-07 14:23,2023-05-07 14:28,2023-05-07 14:36
StationF,2023-12-27 7:18,2023-12-27 7:20,2023-12-27 8:00
StationO,2023-04-29 10:45,2023-04-29 10:49,2023-04-29 11:38
StationT,2023-12-15 7:56,2023-12-15 7:58,2023-12-15 8:29
StationA,2023-09-20 11:34,2023-09-20 11:38,2023-09-20 12:12
StationD,2023-07-01 10:30,2023-07-01 10:33,2023-07-01 11:31
StationV,2023-04-14 3:04,2023-04-14 3:08,2023-04-14 3:42
StationA,2023-01-09 19:46,2023-01-09 19:48,2023-01-09 20:17
StationH,2023-07-27 3:59,2023-07-27 4:04,2023-07-27 4:40
StationM,2023-11-15 7:33,2023-11-15 7:34,2023-11-15 8:22
StationJ,2023-03-12 3:26,2023-03-12 3:29,2023-03-12 4:21
StationM,2023-10-07 18:48,2023-10-07 18:52,2023-10-07 19:40
StationK,2023-09-18 1:00,2023-09-18 1:05,2023-09-18 1:28
StationD,2023-11-09 8:17,2023-11-09 8:19,2023-11-09 8:48
StationS,2023-07-13 1:13,2023-07-13 1:15,2023-07-13 1:32
StationD,2023-04-15 8:03,2023-04-15 8:08,2023-04-15 8:54
StationP,2023-09-03 4:03,2023-09-03 4:08,2023-09-03 4:46
StationQ,2023-10-20 16:59,2023-10-20 17:01,2023-10-20 17:19
StationQ,2023-10-13 20:48,2023-10-13 20:52,2023-10-13 21:05
StationP,2023-10-25 0:12,2023-10-25 0:16,2023-10-25 0:29
StationS,2023-05-03 4:21,2023-05-03 4:23,2023-05-03 5:22
StationE,2023-12-11 7:20,2023-12-11 7:24,2023-12-11 7:25
StationP,2023-03-17 4:29,2023-03-17 4:32,2023-03-17 4:47
StationN,2023-10-18 2:45,2023-10-18 2:50,2023-10-18 3:28
StationX,2023-04-08 5:53,2023-04-08 5:54,2023-04-08 6:22
StationP,2023-08-29 7:23,2023-08-29 7:26,2023-08-29 7:44
StationU,2023-07-20 1:58,2023-07-20 1:59,2023-07-20 2:55
StationV,2023-05-28 19:53,2023-05-28 19:58,2023-05-28 20:25
StationH,2023-01-13 17:11,2023-01-13 17:14,2023-01-13 17:17
StationH,2023-05-14 1:59,2023-05-14 2:04,2023-05-14 2:44
StationH,2023-03-19 14:43,2023-03-19 14:46,2023-03-19 14:47
StationJ,2023-12-08 11:14,2023-12-08 11:18,2023-12-08 12:09
StationO,2023-07-19 22:19,2023-07-19 22:20,2023-07-19 22:51
StationP,2023-05-22 13:20,2023-05-22 13:22,2023-05-22 13:26
StationG,2023-01-19 0:35,2023-01-19 0:38,2023-01-19 0:42
StationS,2023-09-09 23:46,2023-09-09 23:48,2023-09-09 23:53
StationU,2023-02-19 22:21,2023-02-19 22:24,2023-02-19 22:27
StationB,2023-02-01 10:58,2023-02-01 11:03,2023-02-01 11:48
StationV,2023-09-26 1:37,2023-09-26 1:41,2023-09-26 2:16
StationM,2023-10-14 13:12,2023-10-14 13:15,2023-10-14 13:44
StationO,2023-05-14 5:39,2023-05-14 5:41,2023-05-14 6:27
StationX,2023-12-21 5:25,2023-12-21 5:28,2023-12-21 6:14
StationI,2023-05-22 14:11,2023-05-22 14:14,2023-05-22 15:13
StationU,2023-05-15 10:32,2023-05-15 10:34,2023-05-15 10:47
StationX,2023-06-28 11:33,2023-06-28 11:35,2023-06-28 11:47
StationW,2023-06-18 15:52,2023-06-18 15:55,2023-06-18 15:58
StationN,2023-07-09 3:08,2023-07-09 3:12,2023-07-09 4:08
StationO,2023-06-03 8:14,2023-06-03 8:19,2023-06-03 9:00
StationW,2023-08-30 4:14,2023-08-30 4:18,2023-08-30 4:27
StationV,2023-07-22 0:18,2023-07-22 0:20,2023-07-22 0:24
StationK,2023-06-25 20:02,2023-06-25 20:05,2023-06-25 21:00
StationD,2023-02-17 17:50,2023-02-17 17:52,2023-02-17 18:38
StationI,2023-05-29 3:03,2023-05-29 3:08,2023-05-29 3:24
StationW,2023-05-20 17:19,2023-05-20 17:23,2023-05-20 17:44
StationH,2023-03-22 10:47,2023-03-22 10:50,2023-03-22 11:45
StationK,2023-03-05 23:21,2023-03-05 23:24,2023-03-06 0:07
StationF,2023-08-16 16:41,2023-08-16 16:42,2023-08-16 17:15
StationY,2023-05-19 12:57,2023-05-19 12:58,2023-05-19 13:23
StationM,2023-01-23 18:24,2023-01-23 18:27,2023-01-23 18:40
StationG,2023-10-01 23:54,2023-10-01 23:58,2023-10-02 0:12
StationG,2023-07-22 7:03,2023-07-22 7:06,2023-07-22 7:47
StationK,2023-03-20 11:16,2023-03-20 11:18,2023-03-20 12:13
StationJ,2023-05-17 20:21,2023-05-17 20:23,2023-05-17 20:54
StationW,2023-09-26 3:12,2023-09-26 3:14,2023-09-26 3:40
StationI,2023-10-12 13:52,2023-10-12 13:54,2023-10-12 14:32
StationR,2023-01-04 23:10,2023-01-04 23:11,2023-01-04 23:29
StationT,2023-03-07 21:53,2023-03-07 21:55,2023-03-07 22:50
StationX,2023-02-22 9:54,2023-02-22 9:58,2023-02-22 10:53
StationG,2023-09-29 21:30,2023-09-29 21:35,2023-09-29 21:48
StationE,2023-09-22 0:18,2023-09-22 0:23,2023-09-22 0:46
StationE,2023-12-16 2:22,2023-12-16 2:23,2023-12-16 2:51
StationV,2023-05-29 11:17,2023-05-29 11:18,2023-05-29 11:29
StationI,2023-01-09 14:20,2023-01-09 14:22,2023-01-09 14:43
StationO,2023-10-22 3:07,2023-10-22 3:10,2023-10-22 3:33
StationH,2023-05-12 2:25,2023-05-12 2:30,2023-05-12 2:54
StationK,2023-08-21 17:03,2023-08-21 17:05,2023-08-21 17:39
StationB,2023-11-10 12:04,2023-11-10 12:08,2023-11-10 12:21
StationD,2023-07-07 22:48,2023-07-07 22:51,2023-07-07 22:52
StationR,2023-05-02 12:00,2023-05-02 12:02,2023-05-02 12:55
StationD,2023-07-22 15:07,2023-07-22 15:10,2023-07-22 15:56
StationY,2023-04-27 10:37,2023-04-27 10:40,2023-04-27 10:41
StationV,2023-06-11 15:37,2023-06-11 15:40,2023-06-11 16:08
StationY,2023-04-16 12:18,2023-04-16 12:19,2023-04-16 12:34
StationE,2023-03-05 20:34,2023-03-05 20:36,2023-03-05 21:26
StationU,2023-11-14 3:11,2023-11-14 3:16,2023-11-14 3:49
StationP,2023-05-14 15:22,2023-05-14 15:23,2023-05-14 15:29
StationY,2023-06-07 21:59,2023-06-07 22:02,2023-06-07 22:21
StationO,2023-09-23 1:07,2023-09-23 1:12,2023-09-23 1:55
StationW,2023-07-24 11:21,2023-07-24 11:22,2023-07-24 12:02
StationE,2023-06-22 18:13,2023-06-22 18:14,2023-06-22 18:38
